draw_date,number1,number2,number3,number4,number5,number6
2024-10-15,14,32,35,39,44,17
2024-10-11,3,8,13,46,48,11
2024-10-08,3,13,31,37,40,9
2024-10-04,2,8,24,42,48,17
2024-10-01,3,10,14,25,39,1
2024-09-27,12,22,29,43,47,10
2024-09-24,19,23,30,31,38,19
2024-09-20,6,12,16,18,47,19
2024-09-17,23,26,43,44,49,16
2024-09-13,2,10,25,37,43,7
2024-09-10,16,17,18,47,48,6
2024-09-06,10,17,23,44,46,4
2024-09-03,2,9,30,38,47,2
2024-08-30,8,27,33,43,48,14
2024-08-27,13,35,39,42,49,2
2024-08-23,20,22,37,39,40,7
2024-08-20,5,7,13,23,40,7
2024-08-16,9,14,15,22,36,1
2024-08-13,6,34,35,42,46,11
2024-08-09,7,13,28,37,44,6
2024-08-06,5,31,34,40,46,10
2024-08-02,2,5,10,31,32,11
2024-07-30,7,15,20,32,46,4
2024-07-26,6,9,12,38,39,17
2024-07-23,3,11,16,26,48,7
2024-07-19,2,6,9,31,37,6
2024-07-16,2,10,22,48,49,7
2024-07-12,5,10,26,37,44,15
2024-07-09,2,7,19,31,45,4
2024-07-05,18,19,22,38,49,15
2024-07-02,6,15,20,32,42,5
2024-06-28,19,22,31,40,47,5
2024-06-25,3,32,40,42,49,5
2024-06-21,9,29,30,33,49,10
2024-06-18,9,13,18,45,49,2
2024-06-14,19,24,40,45,49,7
2024-06-11,12,22,25,43,50,16
2024-06-07,6,9,17,37,41,19
2024-06-04,4,15,38,41,42,17
2024-05-31,17,20,22,35,43,7
2024-05-28,2,3,23,39,45,14
2024-05-24,4,14,16,18,25,11
2024-05-21,3,9,16,26,38,8
2024-05-17,18,22,23,31,32,18
2024-05-14,4,9,39,41,44,19
2024-05-10,9,21,33,43,44,10
2024-05-07,2,4,10,39,40,11
2024-05-03,28,31,33,37,44,2
2024-04-30,5,8,14,33,36,2
2024-04-26,5,12,13,17,32,12
2024-04-23,13,20,26,37,42,7
2024-04-19,4,17,18,44,48,19
2024-04-16,6,14,26,32,41,3
2024-04-12,22,26,42,43,45,20
2024-04-09,5,7,31,36,42,10
2024-04-05,6,8,16,28,36,18
2024-04-02,13,20,28,39,47,18
2024-03-29,1,13,24,25,35,4
2024-03-26,11,15,35,41,45,12
2024-03-22,9,10,36,43,44,7
2024-03-19,7,15,19,26,36,15
2024-03-15,4,9,20,22,33,20
2024-03-12,2,18,21,47,48,9
2024-03-08,7,18,19,27,28,14
2024-03-05,2,4,23,27,31,4
2024-03-01,10,30,35,42,46,10
2024-02-27,12,13,33,39,43,4
2024-02-23,3,19,22,35,38,17
2024-02-20,4,13,16,21,32,4
2024-02-16,18,33,35,46,48,16
2024-02-13,13,15,30,32,46,17
2024-02-09,8,16,24,29,36,17
2024-02-06,2,6,10,18,28,15
2024-02-02,21,35,37,43,46,19
2024-01-30,1,8,30,39,44,3
2024-01-26,1,6,13,20,21,12
2024-01-23,9,16,21,26,39,16
2024-01-19,11,18,20,41,46,15
2024-01-16,5,29,40,42,47,6
2024-01-12,15,29,36,45,49,5
2024-01-09,12,20,24,33,43,19
2024-01-05,2,18,31,43,50,7
2024-01-02,9,20,23,46,50,5
2023-12-29,17,21,38,48,49,15
2023-12-26,6,29,30,34,38,12
2023-12-22,24,27,29,34,38,16
2023-12-19,4,17,25,28,35,2
2023-12-15,16,24,34,38,44,13
2023-12-12,7,9,15,38,41,17
2023-12-08,2,22,24,32,33,1
2023-12-05,19,20,21,30,39,12
2023-12-01,16,18,44,46,48,8
2023-11-28,4,17,25,26,46,5
2023-11-24,21,32,40,41,47,4
2023-11-21,3,13,24,45,49,10
2023-11-17,4,20,24,30,42,8
2023-11-14,10,24,30,33,44,20
2023-11-10,3,18,21,37,46,3
2023-11-07,3,13,28,31,40,15
2023-11-03,1,8,24,26,31,2
2023-10-31,10,15,19,36,48,4
2023-10-27,16,17,21,31,36,15
2023-10-24,1,10,33,37,46,4
2023-10-20,3,7,13,18,42,12
2023-10-17,5,18,29,36,49,18
2023-10-13,9,11,39,41,44,19
2023-10-10,7,15,19,20,49,10
2023-10-06,19,21,25,41,49,9
2023-10-03,3,8,15,24,45,14
2023-09-29,6,14,27,31,47,14
2023-09-26,8,22,25,35,44,2
2023-09-22,8,9,19,26,27,5
2023-09-19,15,18,36,43,46,18
2023-09-15,3,21,28,35,46,19
2023-09-12,3,15,18,36,45,20
2023-09-08,5,8,14,35,36,12
2023-09-05,4,12,18,24,50,12
2023-09-01,1,3,8,33,49,4
2023-08-29,8,23,31,36,44,17
2023-08-25,3,4,7,13,24,5
2023-08-22,5,10,16,19,29,10
2023-08-18,1,3,6,7,16,1
2023-08-15,7,9,16,34,38,11
2023-08-11,30,35,42,43,44,5
2023-08-08,17,18,26,39,46,4
2023-08-04,19,27,28,37,43,4
2023-08-01,1,16,30,38,46,10
2023-07-28,2,6,11,20,47,7
2023-07-25,14,24,25,44,48,4
2023-07-21,19,21,25,31,48,20
2023-07-18,5,21,33,45,50,5
2023-07-14,1,22,31,32,41,9
2023-07-11,10,19,20,22,48,19
2023-07-07,8,21,25,26,29,18
2023-07-04,13,29,30,31,47,8
2023-06-30,9,17,27,36,37,16
2023-06-27,7,21,33,45,46,12
2023-06-23,19,37,41,43,47,16
2023-06-20,20,24,33,44,48,6
2023-06-16,13,21,26,30,50,2
2023-06-13,10,28,31,35,42,1
2023-06-09,5,17,22,27,37,2
2023-06-06,3,9,15,38,44,12
2023-06-02,1,4,5,12,25,14
2023-05-30,3,7,38,48,50,16
2023-05-26,4,9,21,22,41,7
2023-05-23,20,24,26,28,38,13
2023-05-19,3,16,22,42,49,19
2023-05-16,1,5,14,36,45,19
2023-05-12,5,11,30,40,47,18
2023-05-09,2,4,16,17,34,19
2023-05-05,2,20,24,29,43,20
2023-05-02,13,16,17,41,43,18
2023-04-28,20,21,28,35,44,11
2023-04-25,10,12,13,23,47,16
2023-04-21,2,3,6,12,49,10
2023-04-18,3,5,8,15,25,16
2023-04-14,16,20,33,37,44,16
2023-04-11,4,30,38,43,49,19
2023-04-07,9,15,21,22,26,13
2023-04-04,15,18,29,33,35,12
2023-03-31,7,20,41,42,49,7
2023-03-28,10,22,27,42,49,19
2023-03-24,6,27,33,45,46,14
2023-03-21,7,22,28,34,41,10
2023-03-17,21,22,27,41,43,5
2023-03-14,8,20,29,42,44,16
2023-03-10,12,19,22,27,37,6
2023-03-07,8,14,15,27,49,16
2023-03-03,18,20,41,47,50,14
2023-02-28,2,14,21,22,40,19
2023-02-24,7,23,31,38,43,11
2023-02-21,10,18,22,36,48,2
2023-02-17,1,2,4,19,24,19
2023-02-14,8,14,18,21,49,11
2023-02-10,3,5,21,42,46,6
2023-02-07,3,4,23,32,49,8
2023-02-03,17,32,35,42,43,6
2023-01-31,12,14,17,29,50,20
2023-01-27,27,34,36,40,50,2
2023-01-24,3,10,32,40,48,2
2023-01-20,5,12,15,39,47,8
2023-01-17,1,9,37,38,39,5
2023-01-13,12,19,25,29,41,2
2023-01-10,78,22,27,37,50,9
2023-01-06,6,20,31,37,46,4
2023-01-03,2,21,33,39,42,11

